mid,Model type,Publication,Population,Drug,Disease,PMID,Training data Reference,Training data,Program/code
M1640,PBPK,"Salerno SN, Edginton A, Gerhart JG, Laughon MM, Ambalavanan N, Sokol GM, Hornik CD, Stewart D, Mills M, Martz K, Gonzalez D; Pharmaceuticals for Children Act - Pediatric Trials Network Steering Committee. Physiologically-Based Pharmacokinetic Modeling Characterizes the CYP3A-Mediated Drug-Drug Interaction Between Fluconazole and Sildenafil in Infants. Clin Pharmacol Ther. 2021 Jan;109(1):253-262. doi: 10.1002/cpt.1990. Epub 2020 Aug 22. PMID: 32691891; PMCID: PMC8138939.",Infants,Fluconazole/Sildenafil,pulmonary hypertension,32691891,Table S1. Clinical data used for pharmacokinetic (PBPK) model development and evaluation.,https://ascpt.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fcpt.1990&file=cpt1990-sup-0002-TableS1-S10.docx,NA
M1641,PBPK,"Neeli H, Hanna N, Abduljalil K, Cusumano J, Taft DR. Application of Physiologically Based Pharmacokinetic-Pharmacodynamic Modeling in Preterm Neonates to Guide Gentamicin Dosing Decisions and Predict Antibacterial Effect. J Clin Pharmacol. 2021 Oct;61(10):1356-1365. doi: 10.1002/jcph.1890. Epub 2021 Jun 8. PMID: 33945155.",Preterm Neonates,Gentamicin,bacteria infections,33945155,Supplementary Table S2.	Trial designs used in verification of gentamicin PBPK model in healthy volunteers and preterm neonates,https://accp1.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fjcph.1890&file=jcph1890-sup-0001-SuppMat.docx,https://accp1.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fjcph.1890&file=jcph1890-sup-0001-SuppMat.docx
M1642,PBPK,"Xu R, Tang H, Chen L, Ge W, Yang J. Developing a physiologically based pharmacokinetic model of apixaban to predict scenarios of drug-drug interactions, renal impairment and paediatric populations. Br J Clin Pharmacol. 2021 Aug;87(8):3244-3254. doi: 10.1111/bcp.14743. Epub 2021 May 5. PMID: 33528059.","healthy subjects, renal impairment and paediatric populations",apixaban,venous thromboembolism (VTE),33528059,"2.5 Data source
PK data for apixaban in healthy subjects and patients with renal impairment after single drug administration or combined with DDI drugs were collected from literature reports.1, 6, 8,","https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1111/bcp.12541
https://bpspubs.onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2125.2012.04369.x
https://link.springer.com/article/10.1007/s40256-015-0157-9",NA
M1643,PBPK,"Zhou J, You X, Ke M, Ye L, Wu W, Huang P, Lin C. Dosage Adjustment for Ceftazidime in Pediatric Patients With Renal Impairment Using Physiologically Based Pharmacokinetic Modeling. J Pharm Sci. 2021 Apr;110(4):1853-1862. doi: 10.1016/j.xphs.2021.02.001. Epub 2021 Feb 5. PMID: 33556385.","healthy and renally-impaired adults,Pediatric Patients With Renal Impairment",Ceftazidime,Gram-Negative Bacterial Infections,33556385,"Fig. 1. Mean drug concentration-time of ceftazidime after administering a single dose intravenous drip infusion (a, b, c) and intravenous bolus injection (d, e, f) to healthy
adults.13e15,17e19 Squares, observed values of ceftazidime; blue line, predicted values of ceftazidime; iv, intravenous administration.

Fig. 2. Mean drug concentration-time of ceftazidime after administrating 2 g, twice daily, as intravenous drip infusion to healthy adults.16 Squares, observed values of ceftazidime; blue line, predicted values of ceftazidime; iv, intravenous administration.

Fig. 3. Mean drug concentration-time of ceftazidime in children with normal renal function after using intravenous drip infusion for administering 2 g to children aged 14 years and
weighing 51 kg (a), 50 mg/kg to children 8 years and 25 kg (b), and 50 mg/kg to children 8 months and 8 kg (c).21,34 Squares, observed values of ceftazidime; blue line, predicted
values of ceftazidime.",NA,NA
M1644,PBPK,"Salerno SN, Carreño FO, Edginton AN, Cohen-Wolkowiez M, Gonzalez D. Leveraging Physiologically Based Pharmacokinetic Modeling and Experimental Data to Guide Dosing Modification of CYP3A-Mediated Drug-Drug Interactions in the Pediatric Population. Drug Metab Dispos. 2021 Sep;49(9):844-855. doi: 10.1124/dmd.120.000318. Epub 2021 Jun 21. PMID: 34154994; PMCID: PMC10441624.",Adult and Pediatric Populations,solithromycin,community-acquired bacterial pneumonia,34154994,"Supplemental Table 1. Clinical data used for physiologically-based pharmacokinetic (PBPK) model development. 
Supplemental Table 5. Clinical data for ketoconazole and midazolam physiologically-based pharmacokinetic (PBPK) model development and evaluation.
Supplemental Table 6. Adult drug-drug interaction (DDI) predictions for midazolam plus ketoconazole.  
Supplemental Table 7. Ketoconazole pediatric physiologically-based pharmacokinetic (PBPK) model evaluation. 
Supplemental Table 8. Midazolam pediatric pharmacokinetic (PK) parameters for children receiving intravenous midazolam.  
Supplemental Table 9. Midazolam pediatric physiologically-based pharmacokinetic (PBPK) model predictions for children receiving oral midazolam.",https://dmd.aspetjournals.org/content/dmd/suppl/2021/06/18/dmd.120.000318.DC1/DMD318_Supp.pdf,NA
M1645,PBPK,"Emoto C, Shimizu M, Tanaka T, Yamazaki H. Feasibility of physiologically based pharmacokinetic simulations for assessing pediatric patients after accidental drug ingestion: A case study of a 1.4-year-old girl who ingested alprazolam. Drug Metab Pharmacokinet. 2021 Aug;39:100394. doi: 10.1016/j.dmpk.2021.100394. Epub 2021 Mar 29. PMID: 33992952.",Adult and Pediatric Populations,alprazolam,anxiety disorders,33992952,"Fig. 1. Observed and simulated concentrationetime profiles of alprazolam after intravenous and oral administrations using physiologically based pharmacokinetic modeling. The closed circles represent the mean observed data from reported clinical studies of alprazolam in healthy male volunteers (A [18], 0.5 mg intravenous; B [18], 0.5 mg oral; C [11], 0.4 mg oral; D [11], 0.8 mg oral; E [14], 1.0 mg oral). (F, G) The three open circles represent the observed data in an infant aged 1 year and 5 months (i.e., a 1.4-year-old girl) who accidentally ingested the drug",NA,NA
M1646,PBPK,"Ye L, Ke M, You X, Huang P, Lin C. A Physiologically Based Pharmacokinetic Model of Ertapenem in Pediatric Patients With Renal Impairment. J Pharm Sci. 2020 Sep;109(9):2909-2918. doi: 10.1016/j.xphs.2020.06.010. Epub 2020 Jun 18. PMID: 32565352.",healthy population and adults with renal impairment and pediatric patients with renal impairment,Ertapenem,gram-negative and gram-positive bacteria infections,32565352,"PK Data
Clinical PK data for intravenous administration of ertapenem in a healthy population (adults and children) and adults with renal impairment were derived from the literature.15-23",NA,NA
M1647,PBPK,"Ganguly S, Edginton AN, Gerhart JG, Cohen-Wolkowiez M, Greenberg RG, Gonzalez D; Best Pharmaceuticals for Children Act-Pediatric Trials Network Steering Committee. Physiologically Based Pharmacokinetic Modeling of Meropenem in Preterm and Term Infants. Clin Pharmacokinet. 2021 Dec;60(12):1591-1604. doi: 10.1007/s40262-021-01046-6. Epub 2021 Jun 22. PMID: 34155614; PMCID: PMC8616812.",Adult and Pediatric Populations,Meropenem,gram-negative and gram-positive bacteria infections,34155614,"Table S1 Subject demographics of published adult data used for physiologically based pharmacokinetic (PBPK) model development and evaluation
Table S2 Subject demographics of published pediatric meropenem data used for physiologically based pharmacokinetic (PBPK) model evaluation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8616812/#,NA
M1648,PBPK,"Zhang Y, Zhao S, Wang C, Zhou P, Zhai S. Application of a Physiologically Based Pharmacokinetic Model to Characterize Time-dependent Metabolism of Voriconazole in Children and Support Dose Optimization. Front Pharmacol. 2021 Mar 17;12:636097. doi: 10.3389/fphar.2021.636097. PMID: 33815119; PMCID: PMC8010309.",Adult and Pediatric Populations,Voriconazole,invasive fungal infections (IFI),33815119,"TABLE 2
Summary of voriconazole pharmacokinetic parameters in clinical studies of healthy adults and comparison with model predicted values.

TABLE 3
Summary of voriconazole pharmacokinetic parameters in pediatric clinical studies and comparison with model predicted values.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8010309/table/T2/?report=objectonly
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8010309/table/T3/?report=objectonly",NA
M1649,PBPK,"Idkaidek N, Hamadi S, Bani-Domi R, Al-Adham I, Alsmadi M, Awaysheh F, Aqrabawi H, Al-Ghazawi A, Rabayah A. Saliva versus Plasma Therapeutic Drug Monitoring of Gentamicin in Jordanian Preterm Infants. Development of a Physiologically-Based Pharmacokinetic (PBPK) Model and Validation of Class II Drugs of Salivary Excretion Classification System. Drug Res (Stuttg). 2020 Oct;70(10):455-462. doi: 10.1055/a-1233-3582. Epub 2020 Sep 2. PMID: 32877949.",adult healthy population and premature infants,Gentamicin,bacterial infection,32877949,Table 2 A summary of previously-reported clinical PK data in adults and premature infants used to validate gentamicin physiologically-based pharmacokinetic (PBPK) model.,"https://academic.oup.com/jac/article-abstract/19/2/225/698841?redirectedFrom=fulltext&login=false
https://pubmed.ncbi.nlm.nih.gov/9715552/",NA
M1650,PBPK,"Adiwidjaja J, Boddy AV, McLachlan AJ. Implementation of a Physiologically Based Pharmacokinetic Modeling Approach to Guide Optimal Dosing Regimens for Imatinib and Potential Drug Interactions in Paediatrics. Front Pharmacol. 2020 Jan 30;10:1672. doi: 10.3389/fphar.2019.01672. PMID: 32082165; PMCID: PMC7002565.",Adult and Pediatric Populations,Imatinib,cancer,32082165,"Table 2
Summary of clinical cohorts used for physiologically based pharmacokinetic (PBPK) model verification and comparison of simulated and clinically reported values for pharmacokinetic parameters of imatinib.
Table 4
Comparison of physiologically based pharmacokinetic (PBPK) model prediction and clinically observed values for pharmacokinetic parameters of carbamazepine, ketoconazole, and rifampicin in paediatric population.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7002565/table/T2/?report=objectonly
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7002565/table/T4/?report=objectonly",NA
M1651,PBPK,Physiologically-Based Pharmacokinetic Modeling of Fluconazole Using Plasma and Cerebrospinal Fluid Samples From Preterm and Term Infants,Preterm and Term Infants,Fluconazole,hematogenous Candida meningoencephalitis,39323529,"Clinical data
Data for model development came from two clinical studies referred to as the prophylaxis and PPRU studies. The prophylaxis study (ClinicalTrials.gov no. NCT00734539) was a multicenter, randomized, placebo‐controlled study that included extremely low birth weight preterm infants (< 750 g).18
The PPRU study (ClinicalTrials.gov no. NCT00514358) included data from an open‐label, multicenter study that enrolled both preterm and term infants and stratified enrollment by gestational age (GA) and postnatal age (PNA), as well as an open‐label PK study enrolling both preterm and term infants at a single center.12","https://clinicaltrials.gov/study/NCT00734539
https://clinicaltrials.gov/study/NCT00514358",NA
M1652,PBPK,"Thompson EJ, Wu H, Maharaj A, Edginton AN, Balevic SJ, Cobbaert M, Cunningham AP, Hornik CP, Cohen-Wolkowiez M. Physiologically Based Pharmacokinetic Modeling for Trimethoprim and Sulfamethoxazole in Children. Clin Pharmacokinet. 2019 Jul;58(7):887-898. doi: 10.1007/s40262-018-00733-1. PMID: 30840200; PMCID: PMC6586496.",Adult and Pediatric Populations,Trimethoprim/Sulfamethoxazole,methicillin-resistant Staphylococcus aureus (MRSA) infections,30840200,"2.2. Clinical data for model development
We identified relevant adult TMP and SMX concentration versus time data in the literature using a systematic search of PubMed with the terms ‘trimethoprim’, ‘sulfamethoxazole’, ‘pharmacokinetics’, and ‘pharmacokinetic’. We selected 4 adult studies with the most appropriate concentration versus time data based on administration route, study subjects, and analytical methods for measuring TMP and SMX concentrations. PK parameters and patient demographics are summarized in Online Resource 1.

To develop the pediatric PBPK model, we obtained individual TMP and SMX plasma concentration versus time data after oral administration of TMP-SMX from an opportunistic PK study (Pharmacokinetics of Understudied Drugs Administered to Children Per Standard of Care [POPS], ClinicalTrials.gov #NCT01431326).","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6586496/#SD1
Online Resource 1. Summary of the literature data with TMP and SMX adult PK data

https://clinicaltrials.gov/study/NCT01431326",NA
M1653,PBPK,"Watt KM, Cohen-Wolkowiez M, Barrett JS, Sevestre M, Zhao P, Brouwer KLR, Edginton AN. Physiologically Based Pharmacokinetic Approach to Determine Dosing on Extracorporeal Life Support: Fluconazole in Children on ECMO. CPT Pharmacometrics Syst Pharmacol. 2018 Oct;7(10):629-637. doi: 10.1002/psp4.12338. Epub 2018 Aug 13. PMID: 30033691; PMCID: PMC6202466.",Adult and Pediatric Populations,Fluconazole,organ failure,30033691,Table S2. Studies used in model development and evaluation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6202466/bin/PSP4-7-629-s003.pdf,NA
M1654,PBPK,"Huang W, Nakano M, Sager J, Ragueneau-Majlessi I, Isoherranen N. Physiologically Based Pharmacokinetic Model of the CYP2D6 Probe Atomoxetine: Extrapolation to Special Populations and Drug-Drug Interactions. Drug Metab Dispos. 2017 Nov;45(11):1156-1165. doi: 10.1124/dmd.117.076455. Epub 2017 Aug 31. PMID: 28860113; PMCID: PMC5637815.",Adult and Pediatric Populations and Hepatic Impairment Population,Atomoxetine,Attention deficit hyperactivity disorder (ADHD),28860113,"TABLE 3
Model validation PK data set

TABLE 4
Simulated and observed atomoxetine PK in different ethnic populations

","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5637815/table/T3/?report=objectonly
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5637815/table/T4/?report=objectonly",NA
M1655,PBPK,"Ogungbenro K, Aarons L; CRESim & Epi-CRESim Project Groups. Physiologically based pharmacokinetic modelling of methotrexate and 6-mercaptopurine in adults and children. Part 1: methotrexate. J Pharmacokinet Pharmacodyn. 2014 Apr;41(2):159-71. doi: 10.1007/s10928-014-9354-4. Epub 2014 Mar 21. PMID: 24651961.",Adult and Pediatric Populations,methotrexate,malignancies and auto-immune disorders,24651961,"Fig. 3 Fitted PBPK model 2 profile and mean observed plasma concentration data from four different studies following a single intravenous dose of MTX at 15 mg (Stewart et al. [32], Seideman et al. [6]), 50 mg (Schornagel et al. [36]) and 100 mg/m2 (Stewart et al. [37])

Fig. 5 Observed and predicted plasma concentration–time profiles (2.5, 50 and 97.5th percentiles) of methotrexate following intravenous dosing in three different studies in adults a 15 mg (Hubner et al. [48]), b 100 mg/m2 (Stewart et al. [37]), c 15 mg (Oguey et al. [49])

Fig. 6 Observed and predicted plasma concentration–time profiles (2.5, 50 and 97.5th percentiles) of methotrexate following oral dosing in three different studies in adults a 15 mg (Stewart et al. [32]), b 10 mg (Hroch et al. [61]), c 7.5 mg (Kozloski et al. [62])

Fig. 7 Observed and predicted plasma concentration–time profiles (2.5, 50 and 97.5th percentiles) of methotrexate following intravenous dosing in three different studies in children a 15 mg/m2 (Pinkerton et al. [50]), b 40 mg/m2 (Teresi et al. [8]), c 150 mg/kg (Wang et al. [51])

Fig. 8 Observed and predicted plasma concentration–time profiles (2.5, 50 and 97.5th percentiles) of methotrexate following oral dosing in three different studies in children a 15 mg/m2 (Pinkerton et al. [50]), b 18 mg/m2 (Balis et al. [52]), c 15 mg/m2 (Pinkerton et al. [53])",NA,NA
M1656,PBPK,"Abduljalil K, Jamei M, Rostami-Hodjegan A, Johnson TN. Changes in individual drug-independent system parameters during virtual paediatric pharmacokinetic trials: introducing time-varying physiology into a paediatric PBPK model. AAPS J. 2014 May;16(3):568-76. doi: 10.1208/s12248-014-9592-9. Epub 2014 Apr 4. PMID: 24700271; PMCID: PMC4012043.",Pediatric Populations,"Theophylline,Sildenafil,Phenytoin",NA,24700271,"Fig. 4
Simulated mean (solid lines) and 95% predictive interval values (dashed lines) of sildenafil plasma concentration over time for three representative subjects using both baseline and time-based changing physiology in the p-PBPK model. Filled circles are the observations from each subject as reported in Mukherjee et al. 2009

Fig. 6
Simulated mean values of plasma concentration of phenytoin over time. Filled circles and diamonds are the observations from individual U and V reported in Loughnan et al., 1977","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4012043/figure/Fig4/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4012043/figure/Fig6/",NA
M1657,PBPK,Preterm Physiologically Based Pharmacokinetic Model. Part II: Applications of the Model to Predict Drug Pharmacokinetics in the Preterm Population,adult and paediatrics and preterm Populations,Alfentanil/Ibuprofen/Caffeine/Gentamicin/Vancomycin,NA,39323529,"Figure 1. Simulated (black line) and observed (data points (Kharasch et al. 2005; Kharasch et al. 2011)) mean plasma concentration-time profiles of alfentanil after a single iv dose of (A) 0.015 mg/kg (10 trials of 12 subjects, 19-36 years); (B) 1 mg (10 trials of 6 subjects, 21-33 years). 
Figure 2. Simulated (black line) and observed (data points (Smith and Voss 2012; Kelley et al. 1992)) mean plasma concentration-time profiles of Ibuprofen after (A) 800 mg iv infusion over 6 min (10 trials of 10 subjects, 25-45 years); (B) 800 mg oral dose (10 trials of 10 subjects, 25-45 years); (C) 4 mg/kg oral dose (7 trials of 7 subjects, 6-11 years).
Figure 3A. Observed data were extracted from Randinitis et al. 2001.
Figure 3B. Observed mean data were from (Gorodischer and Karplus 1982) for single iv dose (red filled circles), Individual observed data for multiple i.v dose (orange filled circles) and oral doses (orange filled squares) were from (Charles et al. 2008). 
",NA,NA
M1658,PBPK,"Cristofoletti R, Dressman JB. Use of physiologically based pharmacokinetic models coupled with pharmacodynamic models to assess the clinical relevance of current bioequivalence criteria for generic drug products containing Ibuprofen. J Pharm Sci. 2014 Oct;103(10):3263-75. doi: 10.1002/jps.24076. Epub 2014 Jul 16. PMID: 25043938.",Pediatric Populations,Ibuprofen,pain and fever,25043938,"1. For the antipyretic response, two virtual trials were conducted enrolling 100 children aging 2–11 years per trial: dosing (a) 5 or (b) 10 mg/kg of ibuprofen suspension. 
The simulated PK and PD profiles were additionally compared with a different set of published data,24

2. For the dental pain relief response, a virtual trial was conducted enrolling 100 adults aging 18–40 years and receiving a single oral dose of 400 mg of ibuprofen tablets. The predicted data were compared with the observed ones,21 to internally validate the model","https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1038/clpt.1989.100?sid=nlm%3Apubmed
https://accp1.onlinelibrary.wiley.com/doi/10.1177/0091270010389470",NA
M1659,PBPK,"Duan P, Wu F, Moore JN, Fisher J, Crentsil V, Gonzalez D, Zhang L, Burckart GJ, Wang J. Assessing CYP2C19 Ontogeny in Neonates and Infants Using Physiologically Based Pharmacokinetic Models: Impact of Enzyme Maturation Versus Inhibition. CPT Pharmacometrics Syst Pharmacol. 2019 Mar;8(3):158-166. doi: 10.1002/psp4.12350. Epub 2018 Dec 5. PMID: 30520273; PMCID: PMC6430158.","Pediatric, Neonates and Infants Populations",pantoprazole,gastroesophageal reflux,30520273,"Figure 2
(a) Simulated vs. observed plasma time‐concentration profile of pantoprazole after i.v. infusion of 20 mg delayed release tablet (subjects = 12).17 The solid square denotes mean values from the clinical studies. The thick line represents the mean value of the simulated concentration, whereas the thin dash line represents 95th percentile and 5th percentile of simulated plasma concentration. (b) Simulated vs. observed plasma time‐concentration profile of pantoprazole after single oral administration of 40 mg delayed release tablet (subjects = 12).17 The solid square denotes mean values from the clinical studies. The thick line represents the mean values of the simulated concentration, whereas the thin dash curves represent 95th percentile and 5th percentile of simulated plasma concentration, respectively. (c) Simulated vs. observed plasma time‐concentration profile of pantoprazole after single oral administration of 40 mg delayed release tablet in children aged 12–16 years (subjects = 11).30 The solid square denotes mean values from the clinical studies. The thick line represents the mean values of the simulated concentration, whereas the thin dash curves represent 95th percentile and 5th percentile of simulated plasma concentration, respectively. (d) Simulated vs. observed plasma time‐concentration profile of pantoprazole after single oral administration of 20 mg delayed release tablet in children aged 6–11 years (subjects = 10).30 The solid square denotes mean values from the clinical studies. The thick line represents the mean values of the simulated concentration, whereas the thin dash curves represent 95th percentile and 5th percentile of simulated plasma concentration, respectively. (e) Simulated vs. observed plasma time‐concentration profile of pantoprazole after i.v. infusion of 1.6 mg/kg pantoprazole in children aged 1–5 years (subjects = 5).32 The solid squares denote the clinically observed mean plasma concentration sampled at different timepoints from the clinical studies. The thick line represents the mean values of the simulated concentration, whereas the thin dash curves represent 95th percentile and 5th percentile of simulated plasma concentration, respectively. (f) Simulated vs. observed plasma time‐concentration profile of pantoprazole after single oral administration of 1.25 mg delayed release granules in neonates (subjects = 14).33 The solid square with error bar denotes mean values (with SD) from the clinical studies.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6430158/figure/psp412350-fig-0002/,NA
M1660,PBPK,"Pan X, Stader F, Abduljalil K, Gill KL, Johnson TN, Gardner I, Jamei M. Development and Application of a Physiologically-Based Pharmacokinetic Model to Predict the Pharmacokinetics of Therapeutic Proteins from Full-term Neonates to Adolescents. AAPS J. 2020 May 24;22(4):76. doi: 10.1208/s12248-020-00460-1. PMID: 32449129.",Adult and Pediatric Populations,EPO/Infliximab/Etanercept/Basiliximab/Anakinra/Enfuvirtide,NA,32449129,Table S1. Clinical PK data for compound model development and evaluation.,https://static-content.springer.com/esm/art%3A10.1208%2Fs12248-020-00460-1/MediaObjects/12248_2020_460_MOESM1_ESM.pdf,NA
M1661,PBPK,"Zhou W, Johnson TN, Bui KH, Cheung SYA, Li J, Xu H, Al-Huniti N, Zhou D. Predictive Performance of Physiologically Based Pharmacokinetic (PBPK) Modeling of Drugs Extensively Metabolized by Major Cytochrome P450s in Children. Clin Pharmacol Ther. 2018 Jul;104(1):188-200. doi: 10.1002/cpt.905. Epub 2017 Nov 20. PMID: 29027194.",Adult and Pediatric Populations,theophylline/desloratidine/montelukast/diclofenac/esomeprazole/lansoprazole/tramadol/itraconazole/ondansetron/sufentanil,NA,29027194,Table S1. Clinical studies included,https://ascpt.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fcpt.905&file=cpt905-sup-0002-suppinfo02.docx,NA
M1662,PBPK,"Zhou W, Johnson TN, Xu H, Cheung S, Bui KH, Li J, Al-Huniti N, Zhou D. Predictive Performance of Physiologically Based Pharmacokinetic and Population Pharmacokinetic Modeling of Renally Cleared Drugs in Children. CPT Pharmacometrics Syst Pharmacol. 2016 Sep;5(9):475-83. doi: 10.1002/psp4.12101. Epub 2016 Aug 27. PMID: 27566992; PMCID: PMC5036422.",Adult and Pediatric Populations,avibactam/ceftazidime/ceftibuten/cetirizine/levocetirizine/meropenem/sotalol/vancomycin,NA,27566992,Table S1. Literature source for data used in the model development and validation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5036422/bin/PSP4-5-475-s002.docx,NA
M1663,PBPK,"Basu S, Lien YTK, Vozmediano V, Schlender JF, Eissing T, Schmidt S, Niederalt C. Physiologically Based Pharmacokinetic Modeling of Monoclonal Antibodies in Pediatric Populations Using PK-Sim. Front Pharmacol. 2020 Jun 11;11:868. doi: 10.3389/fphar.2020.00868. PMID: 32595502; PMCID: PMC7300301.",Adult and Pediatric Populations,Palivizumab/Bevacizumab,"RSV infection(Palivizumab) ,Cancer (Bevacizumab)",32595502,"Table 1
List of studies used for the development and qualification of the PBPK models in the current study.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7300301/table/T1/?report=objectonly,NA
M1664,PBPK,Björkman S. Prediction of drug disposition in infants and children by means of physiologically based pharmacokinetic (PBPK) modelling: theophylline and midazolam as model drugs. Br J Clin Pharmacol. 2005 Jun;59(6):691-704. doi: 10.1111/j.1365-2125.2004.02225.x. PMID: 15948934; PMCID: PMC1884855.,infants and children,theophylline/midazolam,NA,15948934,"Pharmacokinetic data from children
Data on the disposition of theophylline [50–57] and midazolam [58–61] in infants and children in various age groups were obtained from the literature.","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884855/figure/fig02/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884855/figure/fig03/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884855/figure/fig04/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1884855/figure/fig05/",NA
M1665,PBPK,"Cicali B, Long T, Kim S, Cristofoletti R. Assessing the impact of cystic fibrosis on the antipyretic response of ibuprofen in children: Physiologically-based modeling as a candle in the dark. Br J Clin Pharmacol. 2020 Nov;86(11):2247-2255. doi: 10.1111/bcp.14326. Epub 2020 May 13. PMID: 32335930; PMCID: PMC7576628.","healthy adults, healthy children and Children with cystic fibrosis and exocrine pancreatic insufficiency",ibuprofen,cystic fibrosis,32335930,"2.2.2. PBPK modelling in healthy adults
On the other hand, ibuprofen metabolic clearance was set under a top‐down perspective, since metabolic clearance was not predicted by the simulator but based on a clinically obtained, published result. 10 , 16

2.2.3. PBPK modelling in healthy children
Nevertheless, considering that ibuprofen is completely absorbed after oral administration, 18 a mathematical adjustment equivalent to using an exponent of 0.5 was needed to recapitulate the observed total plasma clearance in healthy children, ie 1.3 mL/min/kg. 13 Predicted and observed systemic exposure profiles for ibuprofen in healthy children between 8 and 11 years old were compared in order to confirm the adequacy of this in vitro‐in silico‐in vivo framework.

2.2.4. Disease‐based pharmacokinetics modelling – Children with cystic fibrosis and exocrine pancreatic insufficiency
Nevertheless, in the two clinical trials that guided disease‐based pharmacokinetics model development 13 and external verification, 14 ibuprofen was administered only 10 minutes after pancreatic enzyme supplements were given to patients with a light‐fat breakfast, which modulates intraluminal environment.","https://www.sciencedirect.com/science/article/pii/S0022354916416874?casa_token=gy777s5mQf0AAAAA:51O20Ugir_bRHDGd9_bbSQ89A8vp5RoogeqQ0h24MCtSvPfdMtS8Y0R3wtqgaF1mZW9xmZVMb5U
https://www.sciencedirect.com/science/article/pii/S0022354919305854?casa_token=SjQKpDN1jlwAAAAA:HwqYwlg5mA4UmZBfU4KmrqRBqyV5TieFxi2O0E8pAh4Jtoi4q4i4AeBvZpV0LGaSu9sjNfCJQ90
https://www.sciencedirect.com/science/article/abs/pii/S0022347605822188
https://www.sciencedirect.com/science/article/abs/pii/S0022347699703872",NA
M1666,PBPK,"Edginton AN, Schmitt W, Willmann S. Development and evaluation of a generic physiologically based pharmacokinetic model for children. Clin Pharmacokinet. 2006;45(10):1013-34. doi: 10.2165/00003088-200645100-00005. PMID: 16984214.",Adult and Pediatric Populations,acetaminophen/ alfentanil/morphine/theophylline/levofloxacin,NA,16984214,"Table IXReported and predicted values for the volume of distribution and elimination half-life of paracetamol (acetaminophen), alfentanil, morphine, theophylline and levofloxacin",https://link.springer.com/article/10.2165/00003088-200645100-00005/figures/Tab9,NA
M1667,PBPK,"Khalil F, Läer S. Physiologically based pharmacokinetic models in the prediction of oral drug exposure over the entire pediatric age range-sotalol as a model drug. AAPS J. 2014 Mar;16(2):226-39. doi: 10.1208/s12248-013-9555-6. Epub 2014 Jan 8. PMID: 24399240; PMCID: PMC3933580.",Adult and Pediatric Populations,Sotalol,supraventricular tachycardia,24399240,"In Adults 
Table II
Population Characteristics and Dosing Information of the Pharmacokinetic Studies Used in the Development and Validation of the Sotalol Adult PBPK Model

In Children Eighty pediatric patients of different age groups with known age, gender, height, weight, dosing information, and measured plasma profiles were used. The majority of these data are already published (37).","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3933580/table/Tab2/?report=objectonly
https://link.springer.com/article/10.1007/s001120170107",NA
M1668,PBPK,"Mahmood I, Ahmad T, Mansoor N, Sharib SM. Prediction of Clearance in Neonates and Infants (≤ 3 Months of Age) for Drugs That Are Glucuronidated: A Comparative Study Between Allometric Scaling and Physiologically Based Pharmacokinetic Modeling. J Clin Pharmacol. 2017 Apr;57(4):476-483. doi: 10.1002/jcph.837. Epub 2016 Nov 8. PMID: 27704554.",Neonates and Infants,Ibuprofen/Buprenorphine/Zidovudine/Chloramphenicol/Lorazepam/Indomethacin/Morphine/Propofol/Midazolam,NA,27704554,NA,NA,NA
